Biome;LL;LMA;Nmass;Pmass;Amass;Rmass
alpine;;2,13;0,54;;;
alpine;;2,11;0,207;;;
alpine;;2;0,43;;;
alpine;0,59;1,81;0,43;;;
alpine;;2,44;0,083;;;
alpine;0,81;2,37;0,196;;;
alpine;;2,23;0,199;;;
alpine;;1,88;0,328;;;
alpine;0,95;1,82;0,456;;;
alpine;;1,81;0,223;;;
alpine;0,76;1,94;0,364;;;
alpine;;2,11;0,061;;;
alpine;0,82;2,01;0,093;;;
alpine;0,84;1,94;0,394;;;
alpine;0,74;2,04;0,279;;;
alpine;1,03;2,2;-0,108;;;
alpine;;1,83;0,371;;;
alpine;0,88;1,88;0,431;;;
alpine;;1,99;0,161;;;
alpine;;2,2;0,155;;;
alpine;0,68;2,23;0,241;;;
alpine;;1,93;0,42;;;
alpine;;1,68;0,143;;;
alpine;;1,77;0,505;;;
alpine;;2,29;0,164;;;
alpine;;1,87;0,693;;;
wland;;2,09;0,129;;1,8;
wland;;2,36;0,016;;1,66;
wland;;2,2;0,25;;1,73;
wland;;2,03;0,28;;1,86;
wland;;2,12;0,247;;1,8;
trop_for;;;;;;
trop_for;;;;;;
trop_for;;;;;;
trop_for;;;;;;
trop_for;;;;;;
grass/m;;1,92;0,348;;;
grass/m;;1,57;0,514;;;
grass/m;;1,64;0,452;;;
grass/m;;1,61;0,382;;;
grass/m;;1,74;0,305;;;
grass/m;;1,48;0,236;;;
grass/m;;1,8;0,21;;;
grass/m;;1,74;0,281;;;
grass/m;;1,74;0,328;;;
grass/m;;1,59;0,274;;;
grass/m;;1,43;0,324;;;
grass/m;;2,03;0,138;;;
grass/m;;2,21;0,06;;;
grass/m;;1,58;0,504;;;
grass/m;;1,56;0,508;;;
grass/m;;1,64;0,458;;;
grass/m;;1,58;0,277;;;
grass/m;;1,74;0,441;;;
grass/m;;1,65;0,441;;;
grass/m;;1,89;0,441;;;
grass/m;;1,63;0,407;;;
grass/m;;1,54;0,305;;;
grass/m;;1,46;0,342;;;
grass/m;;1,48;0,684;;;
grass/m;;1,63;0,432;;;
grass/m;;2,12;0,06;;;
grass/m;;1,57;0,427;;;
grass/m;;1,97;0,334;;;
grass/m;;1,8;0,254;;;
grass/m;;1,72;0,632;;;
grass/m;;2,17;0,218;;;
grass/m;;2;0,229;;;
grass/m;;1,85;0,151;;;
grass/m;;1,77;0,392;;;
grass/m;;1,75;0,361;;;
grass/m;;1,92;0,443;;;
grass/m;;1,5;0,508;;;
grass/m;;1,96;0,101;;;
grass/m;0,76;1,84;0,328;;2,16;
grass/m;;1,56;0,516;;;
grass/m;0,71;1,74;0,325;;2,39;
grass/m;;1,54;0,432;;;
grass/m;0,68;1,85;0,277;;2,23;
grass/m;;1,55;0,536;;;
grass/m;0,75;1,74;0,534;;2,25;
grass/m;;1,82;0,409;;;
grass/m;;1,91;0,289;;;
grass/m;;1,84;0,394;;;
grass/m;0,65;1,7;0,379;;2,53;
grass/m;;1,71;0,645;;;
grass/m;;1,97;0,325;;;
grass/m;0,68;1,79;0,289;;2,31;
grass/m;0,82;1,73;0,364;;2,24;
grass/m;;1,87;0,473;;;
grass/m;0,85;1,84;0,325;;2,32;
grass/m;1,08;1,79;0,184;;1,88;
grass/m;;1,9;0,254;;;
grass/m;0,32;1,64;0,399;;2,53;
grass/m;;1,56;0,544;;;
grass/m;;1,4;0,46;;;
grass/m;;1,69;0,543;;;
grass/m;;1,6;0,394;;;
grass/m;0,41;1,8;0,24;;1,83;
grass/m;0,34;1,53;0,384;;2,4;
grass/m;0,57;1,81;0,23;;2,01;
grass/m;0,45;1,73;0,3;;2,21;
grass/m;;1,55;0,427;;;
grass/m;0,33;1,61;0,342;;2,37;
grass/m;;1,45;0,336;;;
grass/m;0,62;1,91;0,21;;2,41;
grass/m;1,21;2,21;0,164;;1,52;
grass/m;0,54;1,58;0,419;;2,38;
grass/m;0,62;1,86;0,27;;2,16;
grass/m;0,47;1,8;0,308;;2,57;
grass/m;;1,71;0,439;;;
grass/m;;1,58;0,46;;;
grass/m;;1,98;0,203;;;
grass/m;;1,49;0,264;;;
grass/m;;1,59;0,328;;;
grass/m;0,3;1,66;0,48;;2,11;
grass/m;0,44;1,75;0,402;;2,44;
grass/m;0,52;1,68;0,504;;2,45;
grass/m;;1,84;0,425;;;
grass/m;0,5;1,93;0,43;;2,33;
grass/m;0,39;1,99;0,334;;2,35;
grass/m;0,42;1,81;0,355;;2,16;
grass/m;;1,53;0,484;;;
grass/m;1,26;2,15;-0,076;;1,4;
grass/m;;1,47;0,323;;;
grass/m;0,62;1,97;0,235;;1,66;
grass/m;;1,6;0,394;;;
grass/m;;1,82;0,26;;;
grass/m;;1,68;0,487;;;
grass/m;0,36;1,66;0,574;;2,39;
grass/m;;2,04;0,257;;;
grass/m;0,31;1,61;0,391;;2,15;
grass/m;0,75;1,99;0,325;;2,08;
grass/m;;1,78;0,308;;;
grass/m;0,59;1,91;0,257;;2,37;
grass/m;0,63;1,89;0,344;;2,25;
grass/m;0,72;1,91;0,279;;2,2;
grass/m;;1,7;0,624;;;
grass/m;1,36;2,23;0,114;;1,73;
grass/m;0,83;2,04;0,304;;1,86;
grass/m;0,53;1,89;0,279;;2,22;
grass/m;;1,73;0,314;;;
grass/m;;1,91;0,27;;;
grass/m;;1,74;0,43;;;
grass/m;0,49;1,71;0,322;;2,32;
grass/m;;1,92;0,394;;;
grass/m;;1,78;0,317;;;
grass/m;0,72;1,89;0,299;;1,73;
grass/m;0,77;1,9;0,296;;1,92;
grass/m;;1,66;0,512;;;
grass/m;;1,62;0,32;;;
grass/m;;1,92;0,039;;;
grass/m;0,57;1,68;0,292;;2,26;
grass/m;;1,42;0,32;;;
grass/m;0,27;1,45;0,498;;2,57;
wland;;2,13;0,32;;2,27;
wland;;2;0,303;;2,03;
wland;;2,07;0,389;;2;
wland;;2,08;0,25;;2,03;
wland;;2,1;0,114;;1,78;
wland;;2,32;0,149;;1,8;
wland;;2,22;0,26;;1,77;
wland;;2,04;0,493;;2,05;
wland;;2,22;0,076;;1,74;
wland;;2,04;0,288;;2,2;
wland;;2,13;0,267;;2,16;
wland;;2,23;0,079;;1,77;
wland;;2,29;0,196;;1,78;
wland;;2,18;0,305;;1,83;
wland;;1,75;0,515;;2,13;
wland;;1,96;0,346;;2,16;
wland;;1,89;0,674;;2,56;
wland;;2,06;0,36;;2,24;
wland;;1,73;0,52;;2,45;
wland;;1,75;0,592;;2,51;
wland;;2,06;0,307;;2,15;
wland;;1,9;0,565;;2,22;
wland;;2,2;0,212;;2,03;
wland;;1,6;0,618;;2,59;
wland;;2,03;0,393;;2,19;
wland;;2,04;0,32;;2,26;
wland;;2,13;0,45;;2,19;
